stepsToClean,cleanPercentage,totalMovements,maxTimeReached,totalSteps,numAgents,agentType,repetition,success,movementsPerAgent
,89.33333333333333,424,True,500,1,random,0,False,424.0
,87.33333333333333,450,True,500,1,random,1,False,450.0
,89.5,448,True,500,1,random,2,False,448.0
,88.5,443,True,500,1,random,3,False,443.0
,91.16666666666666,436,True,500,1,random,4,False,436.0
,89.33333333333333,441,True,500,1,random,5,False,441.0
,89.83333333333333,430,True,500,1,random,6,False,430.0
,90.16666666666666,428,True,500,1,random,7,False,428.0
,88.16666666666667,434,True,500,1,random,8,False,434.0
,87.83333333333333,420,True,500,1,random,9,False,420.0
,87.5,439,True,500,1,random,10,False,439.0
,86.16666666666667,451,True,500,1,random,11,False,451.0
,89.16666666666667,427,True,500,1,random,12,False,427.0
,87.5,455,True,500,1,random,13,False,455.0
,88.83333333333333,451,True,500,1,random,14,False,451.0
,89.16666666666667,450,True,500,1,random,15,False,450.0
,86.66666666666667,468,True,500,1,random,16,False,468.0
,88.66666666666667,436,True,500,1,random,17,False,436.0
,87.5,438,True,500,1,random,18,False,438.0
,87.66666666666667,466,True,500,1,random,19,False,466.0
,88.66666666666667,414,True,500,1,random,20,False,414.0
,87.5,460,True,500,1,random,21,False,460.0
,87.83333333333333,442,True,500,1,random,22,False,442.0
,87.66666666666667,443,True,500,1,random,23,False,443.0
,88.16666666666667,443,True,500,1,random,24,False,443.0
,88.5,448,True,500,1,random,25,False,448.0
,88.0,449,True,500,1,random,26,False,449.0
,88.5,439,True,500,1,random,27,False,439.0
,89.66666666666666,449,True,500,1,random,28,False,449.0
,89.5,435,True,500,1,random,29,False,435.0
,87.16666666666667,465,True,500,1,random,30,False,465.0
,86.83333333333333,443,True,500,1,random,31,False,443.0
,87.16666666666667,456,True,500,1,random,32,False,456.0
,88.33333333333333,446,True,500,1,random,33,False,446.0
,88.16666666666667,425,True,500,1,random,34,False,425.0
,87.5,432,True,500,1,random,35,False,432.0
,88.83333333333333,461,True,500,1,random,36,False,461.0
,90.0,447,True,500,1,random,37,False,447.0
,88.0,449,True,500,1,random,38,False,449.0
,89.16666666666667,437,True,500,1,random,39,False,437.0
,87.16666666666667,454,True,500,1,random,40,False,454.0
,89.5,457,True,500,1,random,41,False,457.0
,87.33333333333333,435,True,500,1,random,42,False,435.0
,86.66666666666667,440,True,500,1,random,43,False,440.0
,87.0,451,True,500,1,random,44,False,451.0
,87.66666666666667,464,True,500,1,random,45,False,464.0
,88.16666666666667,469,True,500,1,random,46,False,469.0
,88.16666666666667,437,True,500,1,random,47,False,437.0
,86.16666666666667,433,True,500,1,random,48,False,433.0
,87.33333333333333,436,True,500,1,random,49,False,436.0
,88.66666666666667,441,True,500,1,random,50,False,441.0
,88.66666666666667,432,True,500,1,random,51,False,432.0
,88.5,451,True,500,1,random,52,False,451.0
,87.66666666666667,462,True,500,1,random,53,False,462.0
,88.5,434,True,500,1,random,54,False,434.0
,87.0,415,True,500,1,random,55,False,415.0
,86.83333333333333,462,True,500,1,random,56,False,462.0
,88.83333333333333,446,True,500,1,random,57,False,446.0
,88.0,443,True,500,1,random,58,False,443.0
,87.16666666666667,449,True,500,1,random,59,False,449.0
,89.33333333333333,432,True,500,1,random,60,False,432.0
,88.5,449,True,500,1,random,61,False,449.0
,87.83333333333333,453,True,500,1,random,62,False,453.0
,88.5,451,True,500,1,random,63,False,451.0
,86.5,433,True,500,1,random,64,False,433.0
,88.33333333333333,443,True,500,1,random,65,False,443.0
,87.16666666666667,425,True,500,1,random,66,False,425.0
,88.0,447,True,500,1,random,67,False,447.0
,89.16666666666667,454,True,500,1,random,68,False,454.0
,88.66666666666667,452,True,500,1,random,69,False,452.0
,88.16666666666667,462,True,500,1,random,70,False,462.0
,88.33333333333333,440,True,500,1,random,71,False,440.0
,86.5,403,True,500,1,random,72,False,403.0
,87.83333333333333,438,True,500,1,random,73,False,438.0
,88.5,460,True,500,1,random,74,False,460.0
,87.66666666666667,421,True,500,1,random,75,False,421.0
,88.0,454,True,500,1,random,76,False,454.0
